Timestamp,Class,Confidence Score,FPS,Error,Delta Error
38,end-track,"tensor([0.8541], device='cuda:0')",3.83,0,0
38,end-track,"tensor([0.8559], device='cuda:0')",3.63,0,0
38,end-track,"tensor([0.6926], device='cuda:0')",4.00,0,0
39,end-track,"tensor([0.5898], device='cuda:0')",3.87,0,0
39,end-track,"tensor([0.6987], device='cuda:0')",3.32,0,0
39,end-track,"tensor([0.7398], device='cuda:0')",3.17,0,0
40,end-track,"tensor([0.5305], device='cuda:0')",3.87,0,0
40,end-track,"tensor([0.5664], device='cuda:0')",2.38,0,0
40,track,"tensor([0.5676], device='cuda:0')",2.70,0.34,-15.36
41,track,"tensor([0.6911], device='cuda:0')",2.39,-4.57,-4.91
41,track,"tensor([0.8227], device='cuda:0')",3.02,0.94,5.51
41,track,"tensor([0.7996], device='cuda:0')",3.00,1.12,0.18
42,track,"tensor([0.7243], device='cuda:0')",3.39,-5.15,-6.27
42,track,"tensor([0.7652], device='cuda:0')",3.58,-8.21,-3.06
42,track,"tensor([0.8839], device='cuda:0')",3.93,-9.78,-1.57
43,track,"tensor([0.8189], device='cuda:0')",3.42,3.79,13.57
43,track,"tensor([0.8578], device='cuda:0')",3.22,-10.88,-14.67
43,track,"tensor([0.9204], device='cuda:0')",2.81,-8.74,2.14
44,track,"tensor([0.6135], device='cuda:0')",3.41,-4.58,4.16
44,track,"tensor([0.7241], device='cuda:0')",3.26,-1.96,2.62
44,track,"tensor([0.8540], device='cuda:0')",3.60,-3.53,-1.57
44,track,"tensor([0.9394], device='cuda:0')",3.53,-5.51,-1.98
45,track,"tensor([0.9392], device='cuda:0')",3.70,-2.76,2.75
45,track,"tensor([0.9511], device='cuda:0')",3.40,4.3,7.06
45,track,"tensor([0.9083], device='cuda:0')",3.60,1.4,-2.9
46,track,"tensor([0.8066], device='cuda:0')",3.75,11.33,9.93
